artist_name,playlist,active,ignore,category,priority
Honey Ltd.,Liked song,FALSE,TRUE,,2
Hoodie & James K,tasasem teknohõng,,,DJ,
Hooverphonic,,,,,
Hot Flash Heat Wave,,,,,
House Of Pain,räps,FALSE,TRUE,,
How to destroy angels,,,,,
Howard Devoto,punk / new wave,,,,
HU?,bestEST,,,,est
Hungry Ghosts,Album added to library,,,,2
Hype Williams,tasasem teknohõng,,,DJ,1
Hypnosis Negative,Album added to library,,,,est
I Wear* Experiment,,,,,
Iceage,Liked song,,,,2
IDLES,post punkish,,,,1
Iggy Pop,,,,,
Igorrr,Album added to library,,,,2
Igorrr & Bong-Ra,metall,,TRUE,,
IN$OMNIA,post punkish,,,,2
Incubus,,,,,
Induction music,post punkish; tasasem teknohõng,,,,2
infinite bisous,Album added to library,,,,2
Inga Copeland,tasasem teknohõng,,,DJ,
Injury Reserve,räps,FALSE,TRUE,,
InOrderOfMoreDepth,tasasem teknohõng,,TRUE,DJ,
Italia 90,post punkish,,,,2
itoh138,räps,,TRUE,,
Jaakko Eino Kalevi,Album added to library,,,,2
Jaga Jazzist,tasasem teknohõng,,,DJ,
Jaga Jazzist Horns,,,,,
Jagwar Ma,,,,,
Jaimeo Brown Transcendence,,,,,
Jakob Juhkam,Album added to library; bestEST,,,,est
James Chance,Album added to library,FALSE,TRUE,,2
James White & The Blacks,Liked song,,,,2
James Wolfgang Rassakas,Album added to library,,,,2
Jamie Isaac & Rejjie Snow,nikumuss,,,,
Jamiroquai,,,,,
Jane Birkin,,FALSE,TRUE,,
Jane's Addiction,,,,,
Janis Joplin,,FALSE,TRUE,,
Janko Nilovic,,,,,
Jay Prince feat. SiR & Joyce Wrice,,,TRUE,,
Jazzanova,,,,,
Jello Biafra,Album added to library,,,,2
Jello Biafra & Melvins,metall,,,,2
Jerry Paper,,,,,
Jethro Tull,Album added to library,,,,2
Jim James,Album added to library,,,,2
Jim Morrison,,FALSE,TRUE,,
Jim Morrison & The Doors,Album added to library,,TRUE,,2
Jimi Hendrix,,FALSE,TRUE,,
Jockstrap,Album added to library; electro,,,DJ,2
John Adams,,,,,2
John Cooper Clarke,post punkish,,,,2
John Maus,Liked song,,,,2
Johnny Sais Quoi,Liked song,,,,2
Jonny Greenwood,Liked song,,,,2
Jonwayne,räps; electro,,,,2
Joy Division,post punkish; punk / new wave,FALSE,TRUE,,2
Juana Molina,Album added to library,,,,2
Juleah,,,,,
julie,post punkish,,,,2
Julio Iglesias,Liked song,,,,2
Justice,electro,,,DJ,
Kae Tempest,Album added to library,,,,2
Kaitlyn Aurelia Smith,tasasem teknohõng,,,DJ,
Kalli Talonpoika,post punkish,,,,est
Kamchatka,,,,,2
Karen O,Liked collaborator,,,,
Karmakanic,Album added to library,,,,2
Kate NV,Liked song,,,,2
Kenny Segal,,,,,
Kerala Dust,Album added to library,,,,2
Kevin Morby,,,,,
Khruangbin,nikumuss,,,,
Khun Narin,Album added to library,,,,2
Kid Loco,,,,,
Kikagaku Moyo,,,,,
King Britt & Gray,post punkish,,,,2
King Gizzard & The Lizard Wizard,Album added to library,,,,2
King Kooba,,,,,
King Krule,Album added to library,,,,1
Kitty Florentine,bestEST,,,,est
Kleenex/LiLiPUT,,,,,
Klute,electro,,TRUE,DJ,
knekelhuis,tasasem teknohõng,,,DJ,
Kold Front,punk / new wave,,,,
Kool & The Gang,nikumuss,,,,
Kraftwerk,Liked song,,,,2
Kreatiivmootor,Album added to library,,,,est
Kronos Quartet,Album added to library,,,,2
Kruder & Dorfmeister,,,,,
Kuradi Saar,bestEST,,,,est
Kurious,räps,,,,
Kurt Vile,Album added to library,,,,2
KÕNTS,Album added to library; bestEST,,,,est
Kõrsikud,bestEST,,,,est
Lamb,,,,,
Lamb of God,prügi,,,,
Lana Del Rey,Album added to library,,,,2
laurel 2,tasasem teknohõng,,,DJ,est
Laurel Halo,tasasem teknohõng,,,DJ,
Laurie Anderson,,,,,2
LCD Soundsystem,post punkish,,,,2
Lebanon Hanover,punk / new wave,,,,
Leegitsev Sidrun,,,,,est
Leftfield,,,,DJ,
Leggo Beast,,,,,
Lemon Jelly,,FALSE,TRUE,,
Liars,post punkish,,,,2
Lil Yachty,Liked song,,,,2
Limp Bizkit,räps,,,,
Lingua Ignota,Liked song,,,,2
Lip Critic,Album added to library,,,,2
Living Colour,Liked song,,,,2
Loits,Album added to library,,,,2
Lolina,Album added to library,,,,2
Lou Reed,,FALSE,TRUE,,
Love-Songs & U. Schütte,tasasem teknohõng,,,DJ,
Low,Liked song,FALSE,TRUE,,2
LSteelo,Album added to library,,,,2
LTJ Bukem,,,,,
Luarvik Luarvik,,FALSE,TRUE,,
Luke Vibert,tasasem teknohõng,,,DJ,
Luurel Varas,tasasem teknohõng,,,DJ,est
LVL UP,,FALSE,TRUE,,
Lydia Lunch,Liked song,,,,2
Lynyrd Skynyrd,,,,,
Lyyti,Liked song,,,,2
Léo Ferré,Liked song,FALSE,TRUE,,2
Mac DeMarco,Liked song,,,,2
Machine Girl,electro,,,DJ,
Mad Season,metall,FALSE,TRUE,,
Madlib,räps,,,,
Magazine,punk / new wave,,,,
Magic Shoppe,,,,,
Mahavishnu Orchestra,,FALSE,TRUE,,
Main Source,räps,FALSE,TRUE,,
Male Gaze,Album added to library,,,,2
"Mandy, Indiana",post punkish,,,,2
Mannequin Pussy,post punkish,,,,2
Map of Africa,Liked song,,,,2
Marc And The Mambas,Album added to library,FALSE,TRUE,,2
Marc Laidlaw,Album added to library,,,,2
Marching Church,,,,,
Margo Price,Liked song,,,,2
Maria Minerva,bestEST,,,,est
Marie-Ange Cousin,Liked song,,,,2
Marilyn Manson,metall,,,,
Markus Lehtsalu,bestEST,,,,est
Mart Avi,bestEST,,,,est
Marten Kuningas,Album added to library; bestEST,,,,est
Martina Topley-Bird,,,,,
Maruja,post punkish,,,,2
Massive Attack,,,,,
Mastodon,,,,,2
Matt Maltese,Liked song,,,,2
Matty,Album added to library,,,,2
Mbongwana Star,Liked song,,,,2
Mcbaise,Album added to library,,,,1
Mcbaise & pâle regard,nikumuss,,TRUE,,
Meat Beat Manifesto,electro,,TRUE,DJ,
Meatbodies,new rock,,,,
Mees Inc.,,,,,
Melody's Echo Chamber,,,,,
Melvins,prügi,,,,2
Melvins Lite,,,TRUE,,
Men I Trust,Pehmemad indiaanlased; nikumuss,,,,
Menace Beach,post punkish,,,,2
Meshuggah,prügi,,,,2
Metallica,Album added to library,,,,2
Metric,Liked song,,,,2
MF DOOM,räps,FALSE,TRUE,,
MGMT,Album added to library,,,,2
Michael Christmas,,,,,
Mild High Club,Album added to library,,,,2
Mild Orange,nikumuss,,,,
Miles Davis,Album added to library,FALSE,TRUE,,2
Miljardid,bestEST,,,,est
Milo,räps,,,,
Mind Vision,Album added to library,,,,2
Mink Mussel Creek,,,,,
Minus 8,,,,,
Minutemen,post punkish,FALSE,TRUE,,2
Misha Panfilov,Liked song,,,,est
Mizo,,,,,
Moa,electro,,TRUE,DJ,
Moby,,,,,
Modeselektor,electro,,,DJ,
Modeselektor & Thom Yorke,tasasem teknohõng,,TRUE,DJ,
Modest Mouse,Liked song,,,,2
Moebius,,,,,
Mogwai,Liked song,,,,2
Moloko,,FALSE,TRUE,,
Monade,,,,,
Monocluster,Album added to library,,,,2
Monster Magnet,metall,,,,
Moody Blues,,,,,
Morcheeba,Liked song,,,,2
Morphine,Album added to library,FALSE,TRUE,,2
Mort Garson,Album added to library,FALSE,TRUE,,2
Mos Def,räps,,,,
Mothers,,,,,
motonormal,Album added to library; bestEST,,,,est
Mount Kimbie,Album added to library,,,,2
Mouse On Mars,tasasem teknohõng,,,DJ,
Moving Fusion,electro,,TRUE,DJ,
Mr. Scruff,,,,,
mSdoS,electro,,TRUE,DJ,
Mulatu Astatke / The Heliocentrics,Album added to library,,,,2
Music For Your Plants,Album added to library; bestEST,,,,est
Muthi,nikumuss,,,,
Muthi & Mcbaise,nikumuss,,TRUE,,
Mystery Tiime,Album added to library,,,,2
Mógil,Album added to library,,,,2
Name Less,räps,,,,
Nancy,Liked song,,,,2
Naomie Klaus,tasasem teknohõng,,,DJ,
Nazareth,,,,,
NC-17,,,,,
Neotropic,,,,,
Nevesis,Album added to library; bestEST,,,,est
Nick Cave & The Bad Seeds,,,,,
Nick Leng,nikumuss,,,,
Nicolas Jaar,,,,,1
Night Tapes,Liked song,,,,est
Nightmares On Wax,,,,,
Nilüfer Yanya,Pehmemad indiaanlased,,,,
Nina Harker,Liked song,,,,2
Nine Inch Nails,metall,,,,2
Noisia,,FALSE,TRUE,,
Nucleus,Album added to library,FALSE,TRUE,,2
Nusrat Fateh Ali Khan,Album added to library,FALSE,TRUE,,2
Nuyorican Soul,Liked song,,,,2
Nymfo,electro,,TRUE,DJ,
Objekt,tasasem teknohõng,,,DJ,
Odd Future,räps,,,,
Odyssey,,,,,
Oh Sees,Album added to library,,,,1
OM,Album added to library,,,,2
Omertà,tasasem teknohõng,,,DJ,
Omni,post punkish,,,,2
Only Real,,,,,2
Open Mike Eagle,Album added to library,,,,2
Opeth,,,,,
Optical,electro,,TRUE,DJ,
Optiv,,FALSE,TRUE,,
Oranssi Pazuzu,Album added to library,,,,2
Orbital,,,,,
Ought,Album added to library,,,,2
OUMEEN,bestEST,,,,est
P.K.14,Album added to library,,,,2
Palehound,post punkish,,,,2
Palm,,FALSE,TRUE,,
Panda Bear,Album added to library,,,,2
Pantera,Album added to library,,,,2
PARADE,post punkish,,,,2
Parquet Courts,Album added to library,,,,1
Paul Cherry,nikumuss,,,,
Paul Oja,räps,,,,
Paul Rock,,,,,
Peace Orchestra,,,,,
Pekka Pohjola,Album added to library,FALSE,TRUE,,2
Pendulum,,,,DJ,
Pentangle,Liked song,,,,2
Perfume Genius,Liked song,,,,2
Perry Maysun,räps,,,,
Peter Gabriel,Liked song,,,,2
Philip Glass,,,,,2
Pinback,Album added to library,,,,2
Pink Floyd,,FALSE,TRUE,,
Pixies,Liked song,,,,2
Plaid,tasasem teknohõng,,,DJ,
Plixid,bestEST,,,,est
Pond,Pehmemad indiaanlased,,,,
Porches,,,,,
Porcupine Tree,,,,,
Porno for Pyros,,FALSE,TRUE,,
Portishead,,,,,
Post Industrial Boys,Album added to library,,,,2
Prefuse 73,räps; electro,,,,2
Prefuse 73 feat. John Stanier,,,TRUE,,
